product_id,product_name,polymer,compliance,L,a,b,dispersion,thermal_stability
15001,GREY,PE,REACH,49.66,-0.3,-3.34,,-
15011C,GREY,PE,REACH,36.05,0.29,3.14,,-
15014,GREY,PE,REACH,37.36,-0.21,-2.71,,-
15014A,GREY,PE,REACH,38.45,-0.29,-2.6,,
15015,GREY,PE,REACH,57.16,-2.2,-2.33,,
15017,,PE,,62.49,-0.98,0.66,,
15023,GREY,PE,REACH,38.17,-0.29,-0.29,,-
15027,GREY,PE,REACH,62.93,-0.75,-0.48,,
15027 A,,PE,,62.01,-0.64,-0.24,,
15036,GREY,PE,REACH,72.71,-0.55,-0.31,,-
15037,GREY,PE,NON-R,42.86,-0.91,-2.56,,
15047,GREY,PE,NON-R,35.73,1.08,-0.29,,
15048,GREY,PE,NON-R,64.49,-0.44,-0.18,,-
15060,GREY,PE,NON-R,55.02,-0.46,5.48,,
15061,GREY,PE,REACH,42.57,-1.1,-6.94,,-
15062,GREY,PE,REACH,71.47,-1.13,-3.1,,
15064,GREY,PE,REACH,55.73,-1.03,-2.33,,-
15069,GREY,PE,REACH,43.37,-2.21,-5.22,,
15070,GREY,PE,REACH,34.92,-0.12,-1.7,,
15071,GREY,PE,NON-R,31.47,0.06,-1.56,,-
15071 A,,PE,,32.04,-0.11,-1.39,,
15078,GREY,PE,,55.14,-1.96,-9.63,,
15080,GREY,PE,,32.05,0.13,-1.31,,
15081,GREY,PE,,56.29,-0.74,-4.41,,
15082,GREY,PE,,38.39,-1.92,-2.69,,
15083,GREY,PE,,49.52,-4.04,-3.5,,
15084,GREY,PE,,40.91,-0.4,-1.31,,
15086,GREY,PE,,39.14,1.54,0.06,,
15087,GREY,PE,,37.19,-0.48,1.09,,
17001,,PE,,65.22,-0.83,7.04,,
17007,,PE,,32.59,-0.2,0.12,,
17011 C,,PE,,36.05,0.29,3.14,,
17013,,PE,,78.11,-1.33,3.89,,
30003,RED,PE,REACH,44.66,44.88,26.75,,
30005A,,PE,,42.22,44.23,27.85,,
30005,RED,PE,REACH,42.31,45.99,27.41,,-
30010,RED,PE,REACH,35.79,41.29,17.84,,
30015,RED,PE,REACH,45.19,48.21,25.16,,
30022A,,PE,,43.37,43.83,28.68,,
30025,RED,PE,REACH,44.24,48.52,30.07,,
30027,RED,PE,NON-R,44.27,45.36,30.77,,-
30030,RED,PE,REACH,51.29,54.67,35.74,,
30037,RED,PE,REACH,40.41,28.39,13.17,,
30039,RED,PE,REACH,42.81,48.87,29.51,,
30056,,PE,,38.32,36.63,19.04,,
