id,product_id,carrier_resin,material_form,appearance_colour,hardness,moisture_content,antioxidant_content,ash_content,specific_gravity,bulk_density,caco3_content,tio2_percentage,mfr,weather_fastness,light_fastness,colour_migration,dispersion,melting_temperature,heat_stability,toxicity,spec_compliance,higher_olefin_constituent,cbc,carbon_type,volatile_matter_content,toluene_extract,let_down_ratio,ral_pantone_ci
114,24501,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,86506,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10004,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,41710,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10005,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10001,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15002,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10002,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15003,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,30001,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,41509,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,24502,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,30002,,,,,,,,,1,,,,,,,,,,,,,,,,,,
23,11501,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,30004,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,30009,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,30009,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,30012,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10002,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30013,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,61503,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,UD10001,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,UD10002,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,70071,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,UD10003,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,UD10004,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,OOC001,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,60003,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,60005,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,90002,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,90003,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,20003,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,20004,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,50001,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,85002,,,,,,,,,,,,,,,,,,,,,,,,,,,
