productid,rawmaterialid,qtyinkg
BS001,RM040,20.0
BS001,RM042,8.0
BS001,RM047,16.0
BS001,RM050,32.0
BS001,RM061,1.0
BS001,RM060,0.5
BS002,RM040,19.0
BS002,RM042,5.0
BS002,RM047,18.0
BS002,RM050,38.0
BS002,RM061,0.5
BS002,RM060,0.5
BS503,RM040,20.0
BS503,RM045,18.0
BS503,RM050,32.0
BS503,RM061,1.0
BS503,RM1204,1.0
BS503,RM060,0.2
BS504,RM040,15.0
BS504,RM045,20.0
BS504,RM050,36.0
BS504,RM061,0.5
BS504,RM060,0.15
BS504,RM102,0.2
BS511,RM040,21.0
BS511,RM045,18.0
BS511,RM050,27.0
BS511,RM061,1.0
BS511,RM060,1.0
BS511,RM1204,3.0
BS512,RM040,23.0
BS512,RM045,18.0
BS512,RM050,25.0
BS512,RM061,1.0
BS512,RM060,1.0
BS512,RM1204,3.5
BS513,RM040,25.0
BS513,RM045,12.0
BS513,RM046,5.0
BS513,RM050,20.0
BS513,RM061,1.0
BS513,RM060,1.0
BS513,RM1204,3.5
BS601,RM040,25.0
BS601,RM042,7.0
BS601,RM047,18.0
BS601,RM060,0.1
BS601,RM072,0.4
BS651,RM040,27.0
BS651,RM045,20.0
BS651,RM047,3.0
BS651,RM060,0.1
BS651,RM072,0.4
10035,RM050,15.0
10035,RM181,13.5
10035,RM102,0.0
10035,RM005,6.0
10035,RM001,3.0
10035,RM103,1.0
10035,RM101,1.35
10038,RM050,13.0
10038,RM181,10.0
10038,RM187,11.0
10038,RM102,0.5
10038,RM020,14.0
10038,RM001,0.0
10038,RM103,0.0
10038,RM101,1.5
10040,RM182,10.0
10040,RM187,14.0
10040,RM102,0.5
10040,RM020,15.0
10040,RM090,1.8
10040,RM101,1.3
10042,RM050,18.0
10042,RM181,6.0
10042,RM187,8.0
10042,RM102,0.5
10042,RM020,10.0
10042,RM090,2.0
10042,RM092,0.8
10042,RM101,2.0
10043,RM050,11.0
10043,RM182,3.0
10043,RM181,6.0
10043,RM187,7.0
10043,RM102,0.5
10043,RM020,15.0
10043,RM090,2.0
10043,RM092,1.0
10043,RM101,2.5
16521,RM606,0.165
16521,RM200,0.355
16521,RM1313,0.02
16521,RM1102,11.502
10050,RM120,0.05
10050,RM182,20.3
10050,RM005,18.5
10050,RM092,0.5
10050,RM103,1.5
10050,RM101,0.25
10085,RM091,1.0
10085,RM050,8.0
10085,RM185,24.0
10085,RM195,0.1
10085,RM1200,0.7
10085,RM004,2.0
10085,RM001,12.0
10085,RM196,0.2
10085,RM090,1.0
10085,RM101,1.6
10088,RM185,12.0
10088,RM181,5.0
10088,RM1200,0.8
10088,RM102,0.0
10088,RM004,0.0
10088,RM001,22.0
10088,RM090,2.5
10088,RM101,0.4
10130,RM091,1.0
10130,RM050,13.0
10130,RM181,18.0
10130,RM102,1.0
10130,RM001,17.0
10130,RM090,2.5
10130,RM101,1.5
10131,RM091,0.0
10131,RM050,0.0
10131,RM182,1.69
10131,RM102,0.11
10131,RM001,3.08
10131,RM090,0.75
10131,RM101,0.0
10141,RM091,4.0
10141,RM050,1.0
10141,RM181,20.0
10141,RM1200,1.0
10141,RM102,0.8
10141,RM001,19.0
10141,RM090,1.5
10141,RM101,2.5
10145,RM120,0.12
10145,RM182,18.0
32501,RM517,1.61
32501,RM313,0.85
10145,RM005,20.0
10145,RM104,0.3
10145,RM001,6.0
10145,RM101,0.25
10146,RM050,13.0
10146,RM181,14.0
10146,RM102,0.5
10146,RM005,11.0
10146,RM090,2.8
10146,RM092,1.0
10146,RM101,1.35
10221,RM050,36.0
10221,RM182,16.0
10221,RM102,0.35
10221,RM005,16.0
10221,RM001,3.0
10221,RM090,2.8
10221,RM101,1.35
10225,RM181,12.0
10225,RM102,0.2
10225,RM020,25.0
10225,RM090,0.8
10225,RM101,1.4
10250,RM120,0.05
10250,RM188,20.6
10250,RM102,0.2
10250,RM001,18.5
10250,RM103,0.5
10250,RM101,1.0
10275,RM702,0.06
10275,RM304,0.81
10275,RM1101,80.15
10275,RM517,1.4
10275,RM200,0.56
10276,RM183,0.003
10276,RM702,0.052
10276,RM300,1.785
10276,RM304,5.25
10276,RM309,0.465
10276,RM1101,80.15
10277,RM604,4.9
10277,RM300,0.09
10277,RM801,0.055
10277,RM1101,73.15
10278,RM702,0.155
10278,RM1101,80.15
10278,RM502,2.3
10278,RM517,0.634
10278,RM200,0.634
10535,RM185,15.0
10535,RM102,0.2
10535,RM104,0.5
10535,RM011,25.0
10535,RM092,0.5
10535,RM101,1.0
11125,RM151,1.0
11125,RM185,11.0
11125,RM1200,0.8
11125,RM001,25.0
11125,RM101,1.4
11204,RM042,4.0
11204,RM040,20.0
43003,RM002,5.6
43003,RM050,14.5
43003,RM1201,0.8
43003,RM200,4.039
14005,RM1201,3.0
14005,RM1016,0.53
14005,RM102,0.5
14005,RM004,2.5
14005,RM001,12.0
14005,RM054,18.0
14005,RM910,10.0
14019,RM919,5.0
14019,RM051,30.0
14019,RM183,0.1
14019,RM1201,2.0
14019,RM1015,0.01
14019,RM004,2.0
14019,RM001,8.0
14019,RM092,0.4
14020,RM918,1.15
14020,RM1201,2.0
14020,RM004,4.0
