id,name,selling_price,remark,date_updated,alphacode,slf_no,ral_shade,pantone_shade,is_final_good
40036,GREEN,1508.0,,2026-03-03,"['EGRLMO', 'EGRLFO', 'EGRLFW', 'EGRLFF', 'EGRLFM', 'EGRLMF', 'EGRLMM', 'EGRLWX', 'EGRLWZ', 'EGRLEO', 'EGRLOO', 'EGRLFZ', 'EGRLEZ', 'EGRLPO']",ME1399,,,False
50023,YELLOW,2092.0,,2026-03-03,"['EYLLMO', 'EYLLFO', 'EYLLFW', 'EYLLFF', 'EYLLFM', 'EYLLMF', 'EYLLMM', 'EYLLWX', 'EYLLWZ', 'EYLLEO', 'EYLLOO', 'EYLLPO']",ME1397,,,False
70014,ORANGE,2092.0,,2026-03-03,"['EORLMO', 'EORLFO', 'EORLFW', 'EORLFF', 'EORLFM', 'EORLMF', 'EORLMM', 'EORLWX', 'EORLWZ', 'EORLEO', 'EORLOO', 'EORLWO']",ME1400,,,False
61506,BLUE,1067.25,,2025-10-24,"['CBUCOO', 'CBUCSF', 'CBUCSM', 'CBUCSO', 'CBUCWF', 'CBUCWM', 'CBUCWO']",MC428,,,False
51505,YELLOW,1837.25,,2025-08-04,"['CYLCSO', 'CYLCSF', 'CYLCSM', 'CYLCWO', 'CYLCWF', 'CYLCWM', 'CYLCOO']",MC391,,,False
61504,BLUE,1087.25,,2025-08-04,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",MC426,,,False
91504,BROWN,4202.25,,2025-08-04,"['CBWCSO', 'CBWCSF', 'CBWCSM', 'CBWCWO', 'CBWCWF', 'CBWCWM', 'CBWCOO']",MC428,,,False
15003,GREY,1422.47,,2025-08-05,"['EGYCMO', 'EGYCFO', 'EGYCFW', 'EGYCFF', 'EGYCFM', 'EGYCMF', 'EGYCMM', 'EGYCWX', 'EGYCWZ', 'EGYCEO', 'EGYCOO']",MO464,,,False
61507,BLUE,1585.74,,2025-08-05,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",MC452,,,False
86504,PINK,1035.74,,2025-08-05,"['CPKCSO', 'CPKCSF', 'CPKCSM', 'CPKCWO', 'CPKCWF', 'CPKCWM', 'CPKCOO']",MC453,,,False
15004,GREY,1095.0,,2025-08-08,"['EGYCFO', 'EGYCFW', 'EGYCFF', 'EGYCFM', 'EGYCMO', 'EGYCMF', 'EGYCMM', 'EGYCWX', 'EGYCWZ', 'EGYCEO', 'EGYCOO']",ME350,,,False
60006,BLUE,1522.4,,2025-08-08,"['EBUCMO', 'EBUCFO', 'EBUCFW', 'EBUCFF', 'EBUCFM', 'EBUCMF', 'EBUCMM', 'EBUCWX', 'EBUCWZ', 'EBUCEO', 'EBUCOO']",ME494,,,False
UD10006,BLUE,1645.4,,2025-08-08,"['EBUCMX', 'EBUCFO', 'EBUCFW', 'EBUCFF', 'EBUCFM', 'EBUCMO', 'EBUCMF', 'EBUCMM', 'EBUCWX', 'EBUCWZ', 'EBUCEO', 'EBUCOO']",ME492,,,False
UD10007,RED,1502.4,,2025-08-08,"['ERDCMX', 'ERDCFO', 'ERDCFW', 'ERDCFF', 'ERDCFM', 'ERDCMO', 'ERDCMF', 'ERDCMM', 'ERDCWX', 'ERDCWZ', 'ERDCEO', 'ERDCOO']",ME493,,,False
UD10008,OTHER,1972.0,,2025-08-08,"['OOCMO', 'OOCOO']",MO491,,,False
50002,YELLOW,2197.4,,2025-08-12,"['EYLCMO', 'EYLCFO', 'EYLCFW', 'EYLCFF', 'EYLCFM', 'EYLCMF', 'EYLCMM', 'EYLCWX', 'EYLCWZ', 'EYLCEO', 'EYLCOO']",ME261,,,False
30016,RED,1432.4,,2025-08-13,"['ERDCMO', 'ERDCFO', 'ERDCFW', 'ERDCFF', 'ERDCFM', 'ERDCMF', 'ERDCMM', 'ERDCWX', 'ERDCWZ', 'ERDCEO', 'ERDCOO', 'ERDCMX']",ME258,,,False
30020,RED,1967.4,,2025-08-13,"['ERDCMO', 'ERDCFO', 'ERDCFW', 'ERDCFF', 'ERDCFM', 'ERDCMF', 'ERDCMM', 'ERDCWX', 'ERDCWZ', 'ERDCEO', 'ERDCOO', 'ERDCMX']",ME262,,,False
90004,BROWN,1689.4,,2025-08-21,"['EBWCMO', 'EBWCFO', 'EBWCFW', 'EBWCFF', 'EBWCFM', 'EBWCMF', 'EBWCMM', 'EBWCWX', 'EBWCWZ', 'EBWCEO', 'EBWCOO']",ME379,,,False
50199,YELLOW,1507.4,,2025-08-21,"['EYLCEO', 'EYLCFF', 'EYLCFM', 'EYLCFO', 'EYLCFW', 'EYLCMF', 'EYLCMM', 'EYLCMO', 'EYLCOO', 'EYLCWX', 'EYLCWZ']",ME214,,,False
60007,BLUE,1532.4,,2025-08-20,"['EBUCMO', 'EBUCFO', 'EBUCFW', 'EBUCFF', 'EBUCFM', 'EBUCMF', 'EBUCMM', 'EBUCWX', 'EBUCWZ', 'EBUCEO', 'EBUCOO', 'EBUCMX']",ME535,RAL 5017,,False
70002,ORANGE,2917.4,,2025-08-21,"['EORCMO', 'EORCFO', 'EORCFW', 'EORCFF', 'EORCFM', 'EORCMF', 'EORCMM', 'EORCWX', 'EORCWZ', 'EORCEO', 'EORCOO']",ME536,,,False
11502,BLACK,953.5,,2025-08-22,"['CBLCSO', 'CBLCWO', 'CBLCOO']",MC573,,,False
60009,BLUE,1641.4,,2025-08-25,"['EBUCMO', 'EBUCFO', 'EBUCFW', 'EBUCFF', 'EBUCFM', 'EBUCMF', 'EBUCMM', 'EBUCWX', 'EBUCWZ', 'EBUCEO', 'EBUCOO', 'EBUCMX']",ME7392,,,False
15005,GREY,2050.4,,2025-08-25,"['EGYCMO', 'EGYCFO', 'EGYCFW', 'EGYCFF', 'EGYCFM', 'EGYCMF', 'EGYCMM', 'EGYCWX', 'EGYCWZ', 'EGYCEO', 'EGYCOO']",ME7390,,,False
20010,WHITE,801.25,,2025-08-25,"['EWHCMO', 'EWHCFO', 'EWHCFM', 'EWHCMM', 'EWHCWX', 'EWHCWZ', 'EWHCEO', 'EWHCOO']",ME7389,,,False
31503,RED,1532.25,,2026-03-01,"['CRDCOO', 'CRDCSF', 'CRDCSM', 'CRDCSO', 'CRDCWF', 'CRDCWM', 'CRDCWO']",MC386,,,False
32501,RED,4526.0,,2025-09-11,"['SRDCMF', 'SRDCMM', 'SRDCMO', 'SRDCOF', 'SRDCOM', 'SRDCOO']",MS382,,,False
20007,WHITE,956.0,,2025-09-06,"['EWHCEO', 'EWHCFM', 'EWHCFO', 'EWHCMM', 'EWHCMO', 'EWHCOO', 'EWHCWX', 'EWHCWZ']",ME407,,,False
41307,GREEN,1515.74,,2025-09-27,"['CGRCOO', 'CGRCSF', 'CGRCSM', 'CGRCSO', 'CGRCWF', 'CGRCWM', 'CGRCWO']",SLF2723,,,False
91095,BROWN,1693.74,,2025-09-29,"['CBWCOO', 'CBWCSF', 'CBWCSM', 'CBWCSO', 'CBWCWF', 'CBWCWM', 'CBWCWO']",MC295,,,False
86223,PINK,1515.74,,2025-09-29,"['CPKCOO', 'CPKCSF', 'CPKCSM', 'CPKCSO', 'CPKCWF', 'CPKCWM', 'CPKCWO']",MC326,,,False
86503,PINK,1515.74,,2025-12-15,"['CPKCOO', 'CPKCSF', 'CPKCSM', 'CPKCSO', 'CPKCWF', 'CPKCWM', 'CPKCWO']",MC184,,,False
20005,WHITE,1065.0,,2025-10-01,"['EWHCEO', 'EWHCFM', 'EWHCFO', 'EWHCMM', 'EWHCMO', 'EWHCOO', 'EWHCWX', 'EWHCWZ']",ME300,,,False
UD10005,BLACK,709.5,,2025-10-01,"['EBLCEO', 'EBLCFO', 'EBLCFW', 'EBLCMO', 'EBLCOO', 'EBLCPO', 'EBLCWX', 'EBLCWZ']",ME167,,,True
20006,WHITE,1065.0,,2025-10-03,"['EWHCEO', 'EWHCFM', 'EWHCFO', 'EWHCMM', 'EWHCMO', 'EWHCOO', 'EWHCWX', 'EWHCWZ']",ME300,,,False
61505,BLUE,1258.25,,2025-10-15,"['CBUCOO', 'CBUCSF', 'CBUCSM', 'CBUCSO', 'CBUCWF', 'CBUCWM', 'CBUCWO']",MC427,,,False
71505,ORANGE,4870.0,,2025-10-03,"['CORCOO', 'CORCSF', 'CORCSM', 'CORCSO', 'CORCWF', 'CORCWM', 'CORCWO']",MC390,RAL 1013,PANTONE 108,False
15002,GREY,6283.4,,2025-10-15,"['EGYCEO', 'EGYCFF', 'EGYCFM', 'EGYCFO', 'EGYCFW', 'EGYCMF', 'EGYCMM', 'EGYCMO', 'EGYCOO', 'EGYCWX', 'EGYCWZ']",MO464,,,False
30013,RED,3106.4,5 % INCREASE PIGMENT LOADING AND GLOSS,2025-11-25,"['ERDCEO', 'ERDCFF', 'ERDCFM', 'ERDCFO', 'ERDCFW', 'ERDCMF', 'ERDCMM', 'ERDCMO', 'ERDCOO', 'ERDCWX', 'ERDCWZ']",ME496,,,False
40001,GREEN,1536.4,,2025-08-12,"['EGRCMO', 'EGRCFO', 'EGRCFW', 'EGRCFF', 'EGRCFM', 'EGRCMF', 'EGRCMM', 'EGRCWX', 'EGRCWZ', 'EGRCEO', 'EGRCOO']",ME260,,,False
21104,WHITE,3270.5,,2025-03-25,"['CWHCSO', 'CWHCWO', 'CWHCOO']",,,,False
20008,WHITE,958.0,,2025-08-19,"['EWHCFO', 'EWHCFM', 'EWHCMO', 'EWHCMM', 'EWHCWX', 'EWHCWZ', 'EWHCEO', 'EWHCOO']",ME565,,,False
60036,BLUE,1698.0,,2026-03-03,"['EBULMO', 'EBULFO', 'EBULFW', 'EBULFF', 'EBULFM', 'EBULMF', 'EBULMM', 'EBULWX', 'EBULWZ', 'EBULEO', 'EBULOO']",ME1398,,,False
