shade_code,color_name,hex_code,L,a,b,lab_source
RAL 000 15 00,Ink Black,#212122,12.78,0.25,-0.67,hex
RAL 000 20 00,Slate Black,#2B2B2B,17.53,-0.00,0.00,hex
RAL 000 25 00,Onyx Black,#3A3A3A,24.42,-0.00,0.00,hex
RAL 000 30 00,Medium Black,#444443,28.82,-0.22,0.60,hex
RAL 000 35 00,Briquette Grey,#505050,34.03,-0.00,0.00,hex
RAL 000 40 00,Dark Grey,#5D5C5B,39.13,0.19,0.71,hex
RAL 000 45 00,Architecture Grey,#6B6A69,44.88,0.18,0.70,hex
RAL 000 50 00,Steel Grey,#767675,49.61,-0.20,0.55,hex
RAL 000 55 00,Medium Grey,#828282,54.37,-0.00,0.00,hex
RAL 000 60 00,Ash Grey,#8F8F8E,59.38,-0.19,0.53,hex
RAL 000 65 00,Mortar Grey,#9E9F9E,65.38,-0.55,0.39,hex
RAL 000 70 00,Light Grey,#ACADAC,70.62,-0.54,0.39,hex
RAL 000 75 00,Marble Grey,#BABABA,75.51,-0.00,0.00,hex
RAL 000 80 00,Foggy Grey,#C9C8C7,80.66,0.16,0.62,hex
RAL 000 85 00,Shadow White,#D6D6D4,85.58,-0.36,0.98,hex
RAL 000 90 00,Winter White,#E2E3E0,90.09,-0.87,1.34,hex
RAL 010 20 10,Wenge Black,#3E2A2C,19.48,9.66,2.41,hex
RAL 010 20 15,Cherry Black,#422329,18.01,15.65,2.46,hex
RAL 010 20 20,Dark Mahogany,#482029,18.24,20.18,2.92,hex
RAL 010 20 25,Rusty Red,#4B1C28,17.83,23.65,3.11,hex
RAL 010 30 10,Wood-Black Red,#584043,29.78,10.96,2.26,hex
RAL 010 30 15,Night Mauve,#5D3B41,29.00,15.95,2.52,hex
RAL 010 30 20,Pinkish Brown,#643941,29.46,20.16,3.31,hex
RAL 010 30 25,Chestnut Red,#6C333F,29.20,26.70,4.41,hex
RAL 010 30 30,Leather Red,#712F3E,29.14,30.74,5.10,hex
RAL 010 30 35,Anthracite Red,#73293B,28.24,34.24,5.86,hex
RAL 010 30 40,Brown Magenta,#7B2039,28.22,40.81,7.39,hex
RAL 010 30 44,Atlas Red,#82193A,28.77,45.56,7.69,hex
RAL 010 40 10,Caput Mortuum Grey Red,#6F585B,39.77,9.97,1.86,hex
RAL 010 40 15,Rust Brown,#775359,39.29,15.97,2.52,hex
RAL 010 40 20,Sunset Red,#7F5158,39.75,20.29,3.93,hex
RAL 010 40 25,Mineral Red,#864D58,39.72,25.44,4.00,hex
RAL 010 40 30,Dull Magenta,#8D4856,39.53,30.74,5.12,hex
RAL 010 40 35,Velvet Red,#904353,38.85,34.22,6.08,hex
RAL 010 40 40,Algae Red,#983D53,38.97,40.19,6.43,hex
RAL 010 40 45,Raspberry Ice Red,#9F3753,39.12,45.37,6.81,hex
RAL 010 40 50,Fuchsia Red,#A53152,39.25,49.71,7.79,hex
RAL 010 40 53,Primal Red,#A92B4F,39.12,52.90,9.61,hex
RAL 010 50 10,Old Mahogany,#887175,49.89,9.71,1.17,hex
RAL 010 50 15,Dull Dusky Pink,#8F6D73,49.51,14.46,1.89,hex
RAL 010 50 20,Brickwork Red,#986971,49.46,20.02,3.13,hex
RAL 010 50 25,Matte Carmine,#A06570,49.44,25.29,3.82,hex
RAL 010 50 30,Marble Red,#A9606E,49.41,31.26,5.12,hex
RAL 010 50 35,Geranium Red,#AE5B6C,48.97,35.59,5.78,hex
RAL 010 50 40,Slate Pink,#B3586C,49.07,38.99,6.02,hex
RAL 010 50 45,Tulip Red,#B8516A,48.41,44.06,6.39,hex
RAL 010 50 50,Vibrant Red,#C24C6A,49.11,49.81,7.60,hex
RAL 010 60 10,Lilac Grey,#A38A8D,59.79,9.94,1.91,hex
RAL 010 60 15,Orchid Red,#AD878D,60.01,15.44,2.36,hex
RAL 010 60 20,Lime Pink,#B6848C,60.20,20.40,3.32,hex
RAL 010 60 25,Lipstick Pink,#BD7F8A,59.74,25.54,3.91,hex
RAL 010 60 30,Japanese Coral,#C47A88,59.37,30.63,4.64,hex
RAL 010 60 35,Rose Red,#CD7687,59.61,35.98,5.70,hex
RAL 010 60 40,Strawberry Milkshake Red,#D47186,59.46,40.99,6.20,hex
RAL 010 60 45,Luminous Pink,#DC6C84,59.54,46.10,7.60,hex
RAL 010 70 10,Pale Mauve,#C0A6AA,70.44,10.13,1.44,hex
RAL 010 70 15,Powder Rose,#C8A2A7,70.11,14.77,2.72,hex
RAL 010 70 20,Silver Rose,#D29EA6,70.11,20.50,3.39,hex
RAL 010 70 25,Flamingo Pink,#DB9AA5,70.10,25.84,4.05,hex
RAL 010 70 30,Cherry Blossom Pink,#E297A4,70.17,29.88,4.80,hex
RAL 010 70 35,Baby Pink,#EA91A1,69.70,35.56,5.92,hex
RAL 010 80 10,Mud Pink,#DCC0C3,80.10,10.40,2.15,hex
RAL 010 80 15,Ice Hot Pink,#E4BDC2,80.06,14.70,2.72,hex
RAL 010 80 20,Pastel Pink,#EFB9C0,80.10,20.48,3.99,hex
RAL 010 85 05,Pearl Rose,#DFD3D4,85.52,4.30,0.99,hex
RAL 010 85 10,Salmon Rose,#E6CFD2,85.05,8.50,1.43,hex
RAL 010 85 15,Milkshake Pink,#F0CDD2,85.42,13.06,2.09,hex
RAL 010 85 20,Flesh Pink,#F9CBD3,85.78,17.45,2.18,hex
RAL 010 90 05,Rose Cream,#EFE0DE,90.29,4.77,2.82,hex
RAL 010 90 10,Light Apricot,#F2DAD6,88.86,7.61,4.98,hex
RAL 010 93 05,White-Red,#F3E8EA,92.89,4.06,0.36,hex
RAL 020 20 05,Deep Brown,#342A2A,18.16,4.61,1.73,hex
RAL 020 20 10,Night Red,#3C2727,18.18,9.90,3.99,hex
RAL 020 20 20,Dark Red Brown,#4A2125,18.70,19.91,6.44,hex
RAL 020 20 29,Burgundy,#53181F,18.33,27.98,10.42,hex
RAL 020 30 05,Rhodonite Brown,#4D4141,28.75,5.15,1.91,hex
RAL 020 30 10,Budapest Brown,#553D3E,28.42,10.70,3.53,hex
RAL 020 30 20,Kremlin Red,#633639,28.35,20.45,6.96,hex
RAL 020 30 30,Crystal Dark Red,#6D2C32,27.53,29.51,10.70,hex
RAL 020 30 40,Amaranth Blossom,#7B2331,28.48,38.90,13.08,hex
RAL 020 30 48,Sweet Cherry Red,#84172C,28.65,45.76,16.96,hex
RAL 020 40 05,Greyish Brown,#675B5B,39.78,4.85,1.78,hex
RAL 020 40 10,Nut Brown,#6E5657,39.00,10.08,3.21,hex
RAL 020 40 20,Antique Red,#7D4F51,38.81,19.64,6.90,hex
RAL 020 40 30,Hermosa Pink,#8A474C,38.61,28.93,10.00,hex
RAL 020 40 40,October Red,#943D46,37.98,37.45,13.15,hex
RAL 020 40 50,Bright Red,#A02E3E,37.44,47.70,17.84,hex
RAL 020 50 05,Zircon Grey,#807473,49.88,4.45,2.23,hex
RAL 020 50 10,Sandstone Red Grey,#886E70,48.95,10.59,2.77,hex
RAL 020 50 20,Red Grey,#99686A,49.15,19.96,6.87,hex
RAL 020 50 30,Venetian Red,#A76065,48.91,29.37,9.77,hex
RAL 020 50 40,Alsike Clover Red,#B1575F,48.25,37.35,12.65,hex
RAL 020 50 50,Flame Red,#BE4C5A,48.08,46.98,15.74,hex
RAL 020 50 58,Lingonberry Red,#CE4458,49.45,55.58,19.26,hex
RAL 020 60 05,Globe Thistle Grey Rose,#998D8D,59.66,4.46,1.61,hex
RAL 020 60 10,Tin Pink,#A3898A,59.45,10.00,3.14,hex
RAL 020 60 20,Retro Pink,#B48286,59.33,19.86,5.49,hex
RAL 020 60 30,Begonia Rose,#C3797F,58.80,29.63,8.99,hex
RAL 020 60 40,Lotus Red,#D1717B,58.79,38.65,11.54,hex
RAL 020 70 05,Fashion Mauve,#B5A8A8,69.93,4.68,1.69,hex
RAL 020 70 10,Tourmaline Mauve,#BDA3A5,69.28,9.83,2.48,hex
RAL 020 70 20,Rosewood Apricot,#D39EA2,70.12,20.27,5.63,hex
RAL 020 70 30,Marker Pink,#E3969B,69.83,29.58,9.35,hex
RAL 020 80 05,Aurora Grey,#D3C5C4,80.61,4.72,2.26,hex
RAL 020 80 10,Quartz Rose,#DBBFC0,79.69,10.08,3.16,hex
RAL 020 80 20,Marzipan Pink,#EEBABC,80.14,19.00,6.19,hex
RAL 020 85 05,Almond Blossom Pink,#E0D2D1,85.27,4.66,2.23,hex
RAL 020 85 10,Salmon Cream,#E9CFCF,85.23,9.06,3.32,hex
RAL 020 85 20,Elegant Light Rose,#FDCACA,85.70,18.04,6.89,hex
RAL 020 90 05,Mussel White,#F0E2DE,90.87,4.09,3.66,hex
RAL 020 90 10,Peach Cream,#F4DCD8,89.57,7.60,4.97,hex
RAL 020 93 05,Blossom White,#F8E8E4,93.13,4.75,3.89,hex
RAL 030 30 10,Laurel Nut Brown,#55403E,29.28,8.78,4.74,hex
RAL 030 30 20,Autumn Leaf Red,#623836,28.62,18.41,9.29,hex
RAL 030 30 30,Macore Veneer Red,#6E2F2C,28.20,27.72,15.57,hex
RAL 030 30 40,Crimson Red,#7C292A,29.51,36.06,19.06,hex
RAL 030 30 45,Blood Red,#7D1E20,27.83,40.51,23.48,hex
RAL 030 40 10,Peat Red Brown,#6C5755,39.00,8.28,4.42,hex
RAL 030 40 20,Cranberry Red,#7E5350,39.92,17.55,9.10,hex
RAL 030 40 30,Brick Brown,#8B4B47,39.54,26.53,14.42,hex
RAL 030 40 40,Spicy Red,#97413E,39.09,35.87,19.70,hex
RAL 030 40 50,Hibiscus Red,#A33737,39.24,44.51,24.61,hex
RAL 030 40 60,Emperor Cherry Red,#AC2C32,39.25,51.58,28.07,hex
RAL 030 50 10,Earth Red,#886F6D,49.14,9.50,4.82,hex
RAL 030 50 20,Terracotta Red Brown,#976A66,49.31,17.44,9.44,hex
RAL 030 50 30,Clay Red,#A6615D,48.82,27.49,14.39,hex
RAL 030 50 40,Vermilion Red,#B45A56,49.12,36.05,19.28,hex
RAL 030 50 50,Maple Red,#BF514E,48.90,44.01,24.05,hex
RAL 030 50 60,Holland Red,#CB4543,48.71,52.86,30.71,hex
RAL 030 60 10,Storm Red,#A28A88,59.56,8.71,4.43,hex
RAL 030 60 20,Desert Red,#B3837F,59.30,17.90,9.44,hex
RAL 030 60 30,Antique Pink,#C27A74,58.65,27.37,15.10,hex
RAL 030 60 40,Light Tomato,#D0756F,59.24,34.92,19.05,hex
RAL 030 60 50,Calypso Red,#DE6B66,58.98,44.44,24.20,hex
RAL 030 70 10,Florida Grey,#BEA4A2,69.55,9.16,4.55,hex
RAL 030 70 20,Dull Apricot,#D09C97,69.06,18.66,10.18,hex
RAL 030 70 30,Salmon Pink Red,#E1958F,69.10,27.88,14.96,hex
RAL 030 70 40,Flamingo Red,#EF8E87,69.08,35.96,19.63,hex
RAL 030 80 10,Salt Pink,#DAC0BC,79.75,8.54,5.39,hex
RAL 030 80 20,Magnolia Pink,#ECB9B3,79.49,17.50,10.09,hex
RAL 030 85 05,Almond Cream,#E0D1CB,84.87,4.17,4.84,hex
RAL 030 85 10,Soft Ice Rose,#E7CFCA,84.94,7.54,5.53,hex
RAL 030 85 20,Peach Red,#F9CDC4,85.90,14.15,10.31,hex
RAL 030 90 05,Antique White,#EEE0DC,90.16,4.09,3.67,hex
RAL 030 90 10,Wedding Pink,#F6DFD8,90.47,6.75,6.29,hex
RAL 030 93 05,Parchment White,#F9EAE5,93.73,4.23,4.24,hex
RAL 040 20 19,Wild Brown,#47241A,18.70,15.45,13.95,hex
RAL 040 30 05,Basalt Black,#4D423E,28.96,3.94,4.17,hex
RAL 040 30 10,Caviar Black,#533E39,28.33,8.34,6.62,hex
RAL 040 30 20,Coffee Brown,#60392F,28.43,16.06,13.53,hex
RAL 040 30 30,Root Brown,#6B3226,28.24,24.28,19.39,hex
RAL 040 30 40,Corrosion Red,#772F21,29.58,30.59,24.60,hex
RAL 040 40 05,Ash Brown,#675B58,39.70,4.29,3.50,hex
