rawmaterialid,rawmaterialname,current_price,current_price_date,chemical_name,last_price,last_price_date,remarks,type,compliance
RM600,PB15-SD BU 2633,550.0,,PIGMENT BLUE,,,,PG,ROHS1
RM181,CARBON 660,95.0,2025-10-25,Carbon,110.0,2025-09-04,,PG,NON-R
RM313,PR254-SD RD 2957,1175.0,2025-08-30,PIGMENT RED,1400.0,2025-08-01,,PG,NON-R
RM092,VINTROL OIL,94.0,,WAXES- LIQUID,,,,RM,NON-R
RM101,ZS,129.0,,WAXES- POWDER,,,,RM,NON-R
RM390,PR101-TT RW RD T446 OXIDE,106.0,2025-11-03,PIGMENT RED,108.0,2025-11-03,,PG,REACH
RM204,TT 666,210.0,2025-10-31,PIGMENT WHITE,215.0,2025-10-31,Used for Export against Advance Licencse Purchase,PG,NON-R
RM400,PG7-MG GR,460.0,,PIGMENT GREEN,,,,PG,NON-R
RM919,ALUMNIUM POWDER 7520 RW,505.0,,PIGMENT PEARLS,,,,PG,NON-R
RM197,BLACK 1830,120.0,,PIGMENT BLACK,,,,PG,NON-R
RM310,PR122-SD RD 2991,3550.0,,PIGMENT RED,,,,PG,NON-R
RM922,PEARL SILVER 4138,698.0,2025-10-11,PIGMENT PEARLS,698.0,2025-07-02,,PG,NON-R
RM16UD10023,UD10023 YELLOW,2857.0,2025-09-29,UD10023 YELLOW,2857.0,2025-09-29,Auto Generated by Product,PRM,NON-R
RM187,CARBON HG,31.0,2025-11-20,CARBON,31.0,2025-11-20,,PG,NON-R
RM038,Makrolon® 2407,163.0,2025-08-08,Polymer,163.0,2025-09-04,,RM,NON-R
RM202,TT 100,195.0,2025-12-22,PIGMENT WHITE,180.0,2025-12-22,"Updated TT AT B101, Now from Meghmani",PG,NON-R
RM183,CARBON 330,95.0,2025-10-30,CARBON,95.0,2025-10-30,,PG,NON-R
RM050,CAL PMC,9.0,2026-03-16,FILLERS,8.4,2026-03-16,,RM,NON-R
RM079,VISTAMAX OG,110.0,2025-11-03,MODIFIER,110.0,2025-11-03,SHREE VALLABH CHEMICALS,RM,NON-R
RM1616001,16001 GREY,4813.0,2025-10-29,16001 GREY,4813.0,2025-10-29,Auto Generated by Product,PRM,NON-R
RM112,EBS MLA,175.0,2025-11-03,WAX-POWDER,175.0,2025-11-03,,RM,NON-R
RM985,BLACK 191,4000.0,2025-10-25,PIGMENT DYES,4000.0,2025-06-25,,PG,NON-R
RM021,HDPE GULLA,60.0,2025-10-25,POLYMER-RP,60.0,2025-10-04,,RM,NON-R
RM923,PEARL BROWN 4994,500.0,2025-12-17,PIGMENT PEARLS,500.0,2025-12-17,,PG,NON-R
RM034,EVA-28,165.0,,POLYMER-VG,,,,RM,REACH
RM065,331W/B,130.0,,PVC STABILIZER,,,,RM,NON-R
RM605,PB15:3-SD BU 2789,570.0,,PIGMENT BLUE,,,,PG,NON-R
RM992,SOLVENT YELLOW 3033 K,2900.0,2025-10-22,PIGMENT DYES,2900.0,2025-11-19,,PG,NON-R
RM606,PB29-TR UMB,171.0,,PIGMENT BLUE,,,,PG,NON-R
RM1201,CMB2,173.0,,COMBO,,,,RM,NON-R
RM16UD10027,UD10027 ANTI BLOCK & SLIP,1315.0,2025-10-07,UD10027 ANTI BLOCK & SLIP,1315.0,2025-10-07,Auto Generated by Product,PRM,NON-R
